"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"178","Female",NA,"Other","Some college/TS",0.000856531049250535,0.0163764541080335,-2.96636442099226,8,3.15646087629946e-32,6.31292175259891e-32
"179","Female",NA,"Other",">=College grad",0.000856531049250535,0.0057259893215025,-1.90476559988713,8,4.46040679264521e-10,6.10371455835661e-10
"180",NA,"18-39","Hispanic","<HSG",0,0.0095900938217901,-Inf,0,-Inf,-Inf
"181",NA,"18-39","Hispanic","HSG/GED",0,0.00757308510669202,-Inf,0,-Inf,-Inf
"182",NA,"18-39","Hispanic","Some college/TS",0,0.00685008399251369,-Inf,0,-Inf,-Inf
"183",NA,"18-39","Hispanic",">=College grad",0,0.00272835043773555,-Inf,0,-Inf,-Inf
"184",NA,"18-39","NH Asian","<HSG",0,0.000786672219512408,-Inf,0,-Inf,-Inf
"185",NA,"18-39","NH Asian","HSG/GED",0,0.000559043396440175,-Inf,0,-Inf,-Inf
"186",NA,"18-39","NH Asian","Some college/TS",0,0.00122039366225582,-Inf,0,-Inf,-Inf
"187",NA,"18-39","NH Asian",">=College grad",0,0.00429729784688142,-Inf,0,-Inf,-Inf
"188",NA,"18-39","NH Black","<HSG",0,0.00477640244786483,-Inf,0,-Inf,-Inf
"189",NA,"18-39","NH Black","HSG/GED",0,0.0044997856943095,-Inf,0,-Inf,-Inf
"190",NA,"18-39","NH Black","Some college/TS",0,0.0122350591433529,-Inf,0,-Inf,-Inf
"191",NA,"18-39","NH Black",">=College grad",0,0.00439287052635221,-Inf,0,-Inf,-Inf
"192",NA,"18-39","NH White","<HSG",0,0.00685507521561952,-Inf,0,-Inf,-Inf
"193",NA,"18-39","NH White","HSG/GED",0,0.0167806637376022,-Inf,0,-Inf,-Inf
"194",NA,"18-39","NH White","Some college/TS",0,0.027412114200241,-Inf,0,-Inf,-Inf
"195",NA,"18-39","NH White",">=College grad",0,0.0204222891650582,-Inf,0,-Inf,-Inf
"196",NA,"18-39","Other","<HSG",0,0.000815668848984339,-Inf,0,-Inf,-Inf
"197",NA,"18-39","Other","HSG/GED",0,0.000924445822385873,-Inf,0,-Inf,-Inf
"198",NA,"18-39","Other","Some college/TS",0,0.00450267743468034,-Inf,0,-Inf,-Inf
"199",NA,"18-39","Other",">=College grad",0,0.00202889257963576,-Inf,0,-Inf,-Inf
"200",NA,"40-59","Hispanic","<HSG",0.000963597430406852,0.0206605870576264,-3.08522249441376,9,7.65897090481223e-41,1.21918312362317e-40
"201",NA,"40-59","Hispanic","HSG/GED",0.00417558886509636,0.00782049396207251,-0.631159228598559,39,6.36204789718644e-05,6.70594237811543e-05
"202",NA,"40-59","Hispanic","Some college/TS",0.0116702355460385,0.0140198043282091,-0.185809437776239,109,0.0534422322029041,0.0541362871665782
"203",NA,"40-59","Hispanic",">=College grad",0.015203426124197,0.00661113908954281,0.841451931777704,142,1.22440961845784e-24,1.70542768285199e-24
"204",NA,"40-59","NH Asian","<HSG",0,0.00252058087273517,-Inf,0,-Inf,-Inf
"205",NA,"40-59","NH Asian","HSG/GED",0,0.00236351579642887,-Inf,0,-Inf,-Inf
"206",NA,"40-59","NH Asian","Some college/TS",0.000321199143468951,0.00274558204131518,-2.14811516029237,3,4.95248844783553e-08,5.68079557251722e-08
"207",NA,"40-59","NH Asian",">=College grad",0.000749464668094218,0.00644407836273093,-2.15727291441014,7,6.07056176764847e-12,7.28467412117816e-12
"208",NA,"40-59","NH Black","<HSG",0.00107066381156317,0.00856015889519145,-2.08636568186155,10,3.93719678267062e-15,5.03444834505424e-15
"209",NA,"40-59","NH Black","HSG/GED",0.0249464668094218,0.0182651168698852,0.318568062659235,233,1.42109235876185e-06,1.60645223164383e-06
"210",NA,"40-59","NH Black","Some college/TS",0.056745182012848,0.0211127945118729,1.02577147782153,530,8.38204994433804e-127,1.63449973914592e-126
"211",NA,"40-59","NH Black",">=College grad",0.0211991434689507,0.0144515583311568,0.390028599864902,198,4.6503544261943e-08,5.41384545139038e-08
"212",NA,"40-59","NH White","<HSG",0.000214132762312634,0.0220461928455438,-4.65637768491934,2,1.58531645133186e-86,2.8756903070671e-86
"213",NA,"40-59","NH White","HSG/GED",0.00985010706638116,0.0531444705566693,-1.73024155303525,92,1.20814036359018e-77,2.04858583391379e-77
"214",NA,"40-59","NH White","Some college/TS",0.0306209850107066,0.0867371450256652,-1.10082859923042,286,9.76612407175342e-83,1.69279483910393e-82
"215",NA,"40-59","NH White",">=College grad",0.0310492505353319,0.0570250804999779,-0.635090607764815,290,2.59811199992242e-27,3.82363652818772e-27
"216",NA,"40-59","Other","<HSG",0.000107066381156317,0.00120507668129614,-2.421948184346,1,0.000273504717498117,0.000284444906198041
"217",NA,"40-59","Other","HSG/GED",0.000535331905781585,0.00308176336479212,-1.75292134053005,5,8.99886060491481e-06,9.74876565532438e-06
"218",NA,"40-59","Other","Some college/TS",0.000642398286937901,0.00739206744119534,-2.44973116029903,6,2.63184161279367e-14,3.25847056822073e-14
"219",NA,"40-59","Other",">=College grad",0.00107066381156317,0.00432666419658342,-1.39978282486981,10,1.63264989742206e-06,1.81923845712744e-06
"220",NA,"59+","Hispanic","<HSG",0.00674518201284797,0.0251303329832435,-1.33393058594901,63,7.25753177366686e-30,1.10997544773728e-29
"221",NA,"59+","Hispanic","HSG/GED",0.0133832976445396,0.00796201758442231,0.52480482935658,125,3.74196408535993e-09,4.422321191789e-09
"222",NA,"59+","Hispanic","Some college/TS",0.0253747323340471,0.00716245797403349,1.28341466557019,237,9.58926063778415e-97,1.7808626898742e-96
"223",NA,"59+","Hispanic",">=College grad",0.0277301927194861,0.00468817135581954,1.80090194407645,259,4.15082185506913e-233,8.75038120798357e-233
"224",NA,"59+","NH Asian","<HSG",0,0.007499484372322,-Inf,0,-Inf,-Inf
"225",NA,"59+","NH Asian","HSG/GED",0.000535331905781585,0.00321074290790771,-1.79405111881232,5,4.86664728869183e-06,5.34645758476004e-06
"226",NA,"59+","NH Asian","Some college/TS",0.00107066381156317,0.00373478172113746,-1.25208107071185,10,2.43310817879109e-05,2.59975942391377e-05
"227",NA,"59+","NH Asian",">=College grad",0.00578158458244111,0.00618716241572029,-0.0682067925878469,54,0.617172682959568,0.617172682959568
"228",NA,"59+","NH Black","<HSG",0.0056745182012848,0.01606258782506,-1.05100947905633,53,1.39647901633723e-15,1.8154227212384e-15
"229",NA,"59+","NH Black","HSG/GED",0.0381156316916488,0.0117182430789033,1.20655120562759,356,3.10878052349733e-124,5.91426538616565e-124
"230",NA,"59+","NH Black","Some college/TS",0.102676659528908,0.0175324105996677,1.85818470980083,959,0,0
"231",NA,"59+","NH Black",">=College grad",0.0501070663811563,0.0075215091345985,1.94025130692181,468,0,0
"232",NA,"59+","NH White","<HSG",0.00438972162740899,0.0385646193056813,-2.20799798160899,41,6.02606279144647e-66,1.00006999517622e-65
"233",NA,"59+","NH White","HSG/GED",0.0707708779443255,0.0955301748486194,-0.327000974900116,661,3.94055087838916e-16,5.20954183922634e-16
"234",NA,"59+","NH White","Some college/TS",0.187473233404711,0.121105769827502,0.515487489030089,1751,4.77096226110529e-86,8.45761491741392e-86
"235",NA,"59+","NH White",">=College grad",0.244218415417559,0.104494464363855,1.0185648505784,2281,0,0
"236",NA,"59+","Other","<HSG",0,0.00111038868951872,-Inf,0,-Inf,-Inf
"237",NA,"59+","Other","HSG/GED",0.000428265524625268,0.0042965584064213,-2.30970368063436,4,1.05502692781923e-12,1.28581406827969e-12
"238",NA,"59+","Other","Some college/TS",0.00214132762312634,0.0119317433074696,-1.72763620651308,20,2.92734928472229e-18,3.93678007255756e-18
"239",NA,"59+","Other",">=College grad",0.00224839400428266,0.00477154326769831,-0.75498564128149,21,0.000402328361627889,0.000412915950091781
"240","Male","18-39","Hispanic","<HSG",0,0.00630347929065527,-Inf,0,-Inf,-Inf
"241","Male","18-39","Hispanic","HSG/GED",0,0.00427708224230099,-Inf,0,-Inf,-Inf
"242","Male","18-39","Hispanic","Some college/TS",0,0.004183741084807,-Inf,0,-Inf,-Inf
"243","Male","18-39","Hispanic",">=College grad",0,0.00179888705491509,-Inf,0,-Inf,-Inf
"244","Male","18-39","NH Asian","<HSG",0,0.000545786306953869,-Inf,0,-Inf,-Inf
"245","Male","18-39","NH Asian","HSG/GED",0,0.00028694252277579,-Inf,0,-Inf,-Inf
"246","Male","18-39","NH Asian","Some college/TS",0,0.000676918155174676,-Inf,0,-Inf,-Inf
"247","Male","18-39","NH Asian",">=College grad",0,0.00363652871405212,-Inf,0,-Inf,-Inf
"248","Male","18-39","NH Black","<HSG",0,0.00221507321180479,-Inf,0,-Inf,-Inf
"249","Male","18-39","NH Black","HSG/GED",0,0.002203149733913,-Inf,0,-Inf,-Inf
"250","Male","18-39","NH Black","Some college/TS",0,0.00469600168814264,-Inf,0,-Inf,-Inf
"251","Male","18-39","NH Black",">=College grad",0,0.00254965682896994,-Inf,0,-Inf,-Inf
"252","Male","18-39","NH White","<HSG",0,0.00323205476634295,-Inf,0,-Inf,-Inf
"253","Male","18-39","NH White","HSG/GED",0,0.0109568707205955,-Inf,0,-Inf,-Inf
"254","Male","18-39","NH White","Some college/TS",0,0.019385673633653,-Inf,0,-Inf,-Inf
"255","Male","18-39","NH White",">=College grad",0,0.0107253598259368,-Inf,0,-Inf,-Inf
"256","Male","18-39","Other","<HSG",0,0.00034108013003642,-Inf,0,-Inf,-Inf
"257","Male","18-39","Other","HSG/GED",0,0,-9999999,0,-9999999,-25079362.5714286
"258","Male","18-39","Other","Some college/TS",0,0.00140514819859687,-Inf,0,-Inf,-Inf
"259","Male","18-39","Other",">=College grad",0,0.000797763858015965,-Inf,0,-Inf,-Inf
"260","Male","40-59","Hispanic","<HSG",0.000214132762312634,0.00884850141227192,-3.7300809106021,2,5.07805061327958e-33,8.4455999673492e-33
"261","Male","40-59","Hispanic","HSG/GED",0.00256959314775161,0.00452611523569989,-0.568079918495155,24,0.00484807844030452,0.00528273374874562
"262","Male","40-59","Hispanic","Some college/TS",0.00706638115631692,0.00660433913978537,0.0680868333385112,66,0.581435778784923,0.581435778784923
"263","Male","40-59","Hispanic",">=College grad",0.00899357601713062,0.00291891492337079,1.13140968005456,84,1.4003018701588e-27,2.25762954576623e-27
"264","Male","40-59","NH Asian","<HSG",0,0.00146353758867162,-Inf,0,-Inf,-Inf
"265","Male","40-59","NH Asian","HSG/GED",0,0.00133285468646225,-Inf,0,-Inf,-Inf
"266","Male","40-59","NH Asian","Some college/TS",0.000321199143468951,0.000738054038495826,-0.832372805199886,3,0.17846456685789,0.1831000101529
"267","Male","40-59","NH Asian",">=College grad",0.000642398286937901,0.0033349558330215,-1.6497041433006,6,6.37497933498926e-06,7.68890637349849e-06
"268","Male","40-59","NH Black","<HSG",0.000856531049250535,0.00361208756501811,-1.44191231745219,8,9.03595549350779e-06,1.08157649088957e-05
"269","Male","40-59","NH Black","HSG/GED",0.015524625267666,0.00998222213407622,0.447235781526213,145,7.1202546658284e-08,9.14634339187714e-08
"270","Male","40-59","NH Black","Some college/TS",0.0339400428265525,0.00853487301040497,1.40639291980337,317,6.05192111282972e-157,1.24182277380142e-156
"271","Male","40-59","NH Black",">=College grad",0.0127408993576017,0.00369453517958771,1.24708387537104,119,4.46129082638937e-47,7.92004438842159e-47
"272","Male","40-59","NH White","<HSG",0.000214132762312634,0.0129073958930181,-4.11173680824182,2,2.91511837400547e-49,5.29412302405591e-49
"273","Male","40-59","NH White","HSG/GED",0.00813704496788009,0.0325386297906286,-1.41091035529356,76,2.59217680980406e-40,4.40391328977465e-40
"274","Male","40-59","NH White","Some college/TS",0.023661670235546,0.0437802379168261,-0.636147489578467,221,2.0427849586382e-21,3.19564379668154e-21
"275","Male","40-59","NH White",">=College grad",0.0255888650963597,0.0382802663522742,-0.41588747815302,239,1.63186782959198e-10,2.16668165609692e-10
"276","Male","40-59","Other","<HSG",0.000107066381156317,0.00120507672903271,-2.42194822400667,1,0.000273504723655556,0.000310890261421423
"277","Male","40-59","Other","HSG/GED",0.000321199143468951,0.00223375728845694,-1.94129401904503,3,2.83212098214083e-06,3.46879934246706e-06
"278","Male","40-59","Other","Some college/TS",0.000428265524625268,0.00228967747546883,-1.67828680390008,4,1.09005525601089e-05,1.29495286052421e-05
"279","Male","40-59","Other",">=College grad",0.000749464668094218,0.000936329724014269,-0.222795530592035,7,0.554882238205668,0.558416519977679
"280","Male","59+","Hispanic","<HSG",0.00256959314775161,0.00983726538956227,-1.34974325751781,24,1.10546591486415e-12,1.54569570396934e-12
"281","Male","59+","Hispanic","HSG/GED",0.00599571734475375,0.00324532508226903,0.616593075177857,56,2.96069585239035e-06,3.59838418982827e-06
"282","Male","59+","Hispanic","Some college/TS",0.0147751605995717,0.00329073465089569,1.51342583440344,138,1.14017126375839e-83,2.19691536187593e-83
"283","Male","59+","Hispanic",">=College grad",0.0147751605995717,0.0020259613066373,1.99976050983961,138,2.60107189766293e-165,5.4074915767203e-165
"284","Male","59+","NH Asian","<HSG",0,0.00357663403440963,-Inf,0,-Inf,-Inf
"285","Male","59+","NH Asian","HSG/GED",0.000107066381156317,0.00156682157988934,-2.68481632639601,1,1.72434197243227e-05,2.01811875292073e-05
"286","Male","59+","NH Asian","Some college/TS",0.000642398286937901,0.00143295644271659,-0.803077914919106,6,0.0434071367855631,0.0454193881597283
"287","Male","59+","NH Asian",">=College grad",0.00374732334047109,0.00274815698749409,0.311113730654212,35,0.0651045015176885,0.0676744160512815
"288","Male","59+","NH Black","<HSG",0.00246252676659529,0.0054416217873605,-0.79588009299625,23,9.09232870315784e-05,0.000104860433218901
"289","Male","59+","NH Black","HSG/GED",0.0210920770877944,0.00609971061864404,1.25585544921747,197,2.72822747980287e-77,5.13166597391491e-77
"290","Male","59+","NH Black","Some college/TS",0.0510706638115632,0.00647982264308593,2.11043713520791,477,0,0
"291","Male","59+","NH Black",">=College grad",0.0267665952890792,0.00325697126997729,2.13022601767995,250,0,0
"292","Male","59+","NH White","<HSG",0.00353319057815846,0.013589410905852,-1.35723271543941,33,4.69098121958357e-17,6.79977094214866e-17
"293","Male","59+","NH White","HSG/GED",0.0446466809421842,0.0345827337978454,0.265904603662578,417,1.02082629438496e-07,1.30073027832923e-07
"294","Male","59+","NH White","Some college/TS",0.124732334047109,0.0431155733469045,1.15143872569659,1165,0,0
"295","Male","59+","NH White",">=College grad",0.182012847965739,0.0575752528916183,1.29259388201837,1700,0,0
"296","Male","59+","Other","<HSG",0,0.000871892767079666,-Inf,0,-Inf,-Inf
"297","Male","59+","Other","HSG/GED",0.000321199143468951,0.00234889873609418,-1.99167096993929,3,1.02165035424145e-06,1.27102957456811e-06
"298","Male","59+","Other","Some college/TS",0.00149892933618844,0.00375520891260298,-0.920655065696618,14,0.000363779523144891,0.000410551176120663
"299","Male","59+","Other",">=College grad",0.00171306209850107,0.00366701742994597,-0.763055398621657,16,0.00178330639728536,0.00197036650888871
"300","Female","18-39","Hispanic","<HSG",0,0.0032866149110261,-Inf,0,-Inf,-Inf
"301","Female","18-39","Hispanic","HSG/GED",0,0.0032959899600883,-Inf,0,-Inf,-Inf
"302","Female","18-39","Hispanic","Some college/TS",0,0.00266635638335273,-Inf,0,-Inf,-Inf
"303","Female","18-39","Hispanic",">=College grad",0,0.000929450286603833,-Inf,0,-Inf,-Inf
"304","Female","18-39","NH Asian","<HSG",0,0.000240885943720894,-Inf,0,-Inf,-Inf
"305","Female","18-39","NH Asian","HSG/GED",0,0.000272100895809706,-Inf,0,-Inf,-Inf
"306","Female","18-39","NH Asian","Some college/TS",0,0.000543475555424452,-Inf,0,-Inf,-Inf
"307","Female","18-39","NH Asian",">=College grad",0,0.000660769303057664,-Inf,0,-Inf,-Inf
"308","Female","18-39","NH Black","<HSG",0,0.00256132942526711,-Inf,0,-Inf,-Inf
"309","Female","18-39","NH Black","HSG/GED",0,0.00229663613864599,-Inf,0,-Inf,-Inf
"310","Female","18-39","NH Black","Some college/TS",0,0.00753905793987628,-Inf,0,-Inf,-Inf
"311","Female","18-39","NH Black",">=College grad",0,0.00184321387139654,-Inf,0,-Inf,-Inf
"312","Female","18-39","NH White","<HSG",0,0.00362302072082587,-Inf,0,-Inf,-Inf
"313","Female","18-39","NH White","HSG/GED",0,0.00582379368173718,-Inf,0,-Inf,-Inf
"314","Female","18-39","NH White","Some college/TS",0,0.00802644165246094,-Inf,0,-Inf,-Inf
"315","Female","18-39","NH White",">=College grad",0,0.00969693014810716,-Inf,0,-Inf,-Inf
"316","Female","18-39","Other","<HSG",0,0.000474588751258914,-Inf,0,-Inf,-Inf
"317","Female","18-39","Other","HSG/GED",0,0.000924445859005838,-Inf,0,-Inf,-Inf
"318","Female","18-39","Other","Some college/TS",0,0.00309752941444751,-Inf,0,-Inf,-Inf
"319","Female","18-39","Other",">=College grad",0,0.00123111559769562,-Inf,0,-Inf,-Inf
"320","Female","40-59","Hispanic","<HSG",0.000749464668094218,0.0118120996680744,-2.76865317603496,7,4.34343482526438e-23,6.86262702391771e-23
"321","Female","40-59","Hispanic","HSG/GED",0.00160599571734475,0.00329437903616494,-0.720166275673091,15,0.00440545448517129,0.0048337625601185
"322","Female","40-59","Hispanic","Some college/TS",0.00460385438972163,0.0074154657437886,-0.479502533421372,43,0.00153913385274287,0.00171255738544629
"323","Female","40-59","Hispanic",">=College grad",0.00620985010706638,0.0036922244280583,0.522437809756184,58,6.02940617266341e-05,7.00475128882955e-05
"324","Female","40-59","NH Asian","<HSG",0,0.00105703017961656,-Inf,0,-Inf,-Inf
"325","Female","40-59","NH Asian","HSG/GED",0,0.0010306612035923,-Inf,0,-Inf,-Inf
"326","Female","40-59","NH Asian","Some college/TS",0,0.00200752811157977,-Inf,0,-Inf,-Inf
"327","Female","40-59","NH Asian",">=College grad",0.000107066381156317,0.00310913598927241,-3.37165803016062,1,1.21174767161722e-11,1.63637719756856e-11
"328","Female","40-59","NH Black","<HSG",0.000214132762312634,0.00494807166926591,-3.14490320881428,2,1.90423976670859e-17,2.7858322512959e-17
"329","Female","40-59","NH Black","HSG/GED",0.00942184154175589,0.00828289545934287,0.129987080440636,88,0.224563154859082,0.228909538501516
"330","Female","40-59","NH Black","Some college/TS",0.0228051391862955,0.0125779223378066,0.605454336502531,213,7.38005817804455e-19,1.12120114627985e-18
"331","Female","40-59","NH Black",">=College grad",0.00845824411134904,0.010757023724037,-0.242738391410982,79,0.0312683700082768,0.0329360164087182
"332","Female","40-59","NH White","<HSG",0,0.00913879782583897,-Inf,0,-Inf,-Inf
"333","Female","40-59","NH White","HSG/GED",0.00171306209850107,0.0206058428712464,-2.50639877453686,16,8.30277651515809e-38,1.39557307382444e-37
"334","Female","40-59","NH White","Some college/TS",0.0069593147751606,0.0429568973404531,-1.8570394133256,65,5.48453239549521e-66,1.01947778645676e-65
"335","Female","40-59","NH White",">=College grad",0.00546038543897216,0.0187448164066316,-1.2468452548194,51,2.89656612976904e-21,4.48683773042656e-21
"336","Female","40-59","Other","<HSG",0,0,-9999999,0,-9999999,-25483868.4193548
"337","Female","40-59","Other","HSG/GED",0.000214132762312634,0.00084800619841272,-1.37692594817988,2,0.0305142857684243,0.0323574305463828
"338","Female","40-59","Other","Some college/TS",0.000214132762312634,0.00510239025854761,-3.17576947597144,2,4.38117753047026e-18,6.53043443221039e-18
"339","Female","40-59","Other",">=College grad",0.000321199143468951,0.00339033464396079,-2.35969743923821,3,1.90988308360507e-10,2.51467939341334e-10
"340","Female","59+","Hispanic","<HSG",0.00417558886509636,0.0152930685891662,-1.30937118113456,39,2.0327270305076e-18,3.05877019828762e-18
"341","Female","59+","Hispanic","HSG/GED",0.00738758029978587,0.00471669281755176,0.451379524694338,69,0.000164984428987576,0.000188895215797369
"342","Female","59+","Hispanic","Some college/TS",0.0105995717344754,0.00387172360686342,1.01389072275607,99,1.18850813732458e-25,1.89681096663923e-25
"343","Female","59+","Hispanic",">=College grad",0.0129550321199143,0.00266219703059978,1.59270649356454,121,4.88641342459353e-83,9.30184724199731e-83
"344","Female","59+","NH Asian","<HSG",0,0.00392286383928303,-Inf,0,-Inf,-Inf
"345","Female","59+","NH Asian","HSG/GED",0.000428265524625268,0.00164392145520515,-1.34631332689461,4,0.00124754703182353,0.00139796050374551
"346","Female","59+","NH Asian","Some college/TS",0.000428265524625268,0.00230182542636634,-1.68359048435144,4,1.11829085150732e-05,1.31858175028475e-05
"347","Female","59+","NH Asian",">=College grad",0.00203426124197002,0.00343900567331754,-0.526458253706951,19,0.0203945672645966,0.0217725785662585
"348","Female","59+","NH Black","<HSG",0.00321199143468951,0.0106209666739849,-1.20339951692876,30,2.84797357197875e-12,3.91286803802297e-12
"349","Female","59+","NH Black","HSG/GED",0.0170235546038544,0.00561853292445267,1.12006311044982,159,3.25243968499154e-49,5.83960761623481e-49
"350","Female","59+","NH Black","Some college/TS",0.0516059957173448,0.0110525886510911,1.58284431862156,482,1.49286570568056e-307,3.32215185207786e-307
"351","Female","59+","NH Black",">=College grad",0.0233404710920771,0.00426453816256987,1.71919843762547,218,4.43548372993418e-176,9.34408572439468e-176
"352","Female","59+","NH White","<HSG",0.000856531049250535,0.0249752099274851,-3.39718392507566,8,1.8919365361849e-50,3.47588340368853e-50
"353","Female","59+","NH White","HSG/GED",0.0261241970021413,0.0609474316307051,-0.883562065226648,244,6.00770704253273e-45,1.05468634746686e-44
"354","Female","59+","NH White","Some college/TS",0.0627408993576017,0.077990201277946,-0.233973571148958,586,3.88812243742092e-08,5.03543725502054e-08
"355","Female","59+","NH White",">=College grad",0.0622055674518201,0.0469192156115641,0.298186097184268,581,2.82559363960616e-12,3.91286803802297e-12
"356","Female","59+","Other","<HSG",0,0.000238495966424754,-Inf,0,-Inf,-Inf
"357","Female","59+","Other","HSG/GED",0.000107066381156317,0.00194765984052619,-2.90277730924331,1,4.43934593565923e-07,5.56679887169967e-07
"358","Female","59+","Other","Some college/TS",0.000642398286937901,0.00817653486751742,-2.55138277490765,6,6.19266137187683e-16,8.89491360687763e-16
"359","Female","59+","Other",">=College grad",0.000535331905781585,0.00110452602676693,-0.72485430892297,5,0.0977021198263193,0.100894999559206
